area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1146.0,2.0,1.0,53.8
Super built-up  Area,Ready To Move,Hennagara,6 BHK,Unknown,1200.0,4.5,3.0,120.0
Super built-up  Area,18-Mar,Indira Nagar,3 BHK,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,PrBayGa,2159.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1255.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Shers S,1200.0,2.0,1.0,60.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,ARineun,1040.0,2.0,1.0,37.0
Plot  Area,Ready To Move,TC Palaya,8 Bedroom,Unknown,1500.0,4.5,2.0,150.0
Plot  Area,Ready To Move,Byrathi Village,4 Bedroom,Unknown,906.0,3.0,2.0,55.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,1180.0,2.0,1.0,41.3
Plot  Area,Ready To Move,Ullal Uppanagar,7 Bedroom,Unknown,1200.0,4.5,2.0,169.0
Plot  Area,Ready To Move,Govindpura,6 Bedroom,Unknown,850.0,4.5,2.0,100.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Unknown,1200.0,2.0,3.0,47.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1374.0,3.0,2.0,51.0
Super built-up  Area,Ready To Move,Vidyaranyapura,9 BHK,Unknown,2490.0,4.5,3.0,130.0
Super built-up  Area,19-Dec,Whitefield,1 BHK,Goted U,1275.0,1.0,0.0,32.15
Plot  Area,Ready To Move, south,3 Bedroom,Unknown,2400.0,2.0,0.0,225.0
Plot  Area,Ready To Move,Ittamadu,5 Bedroom,Unknown,1200.0,4.0,2.0,130.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2384.0,4.0,2.0,165.0
Super built-up  Area,19-Aug,Electronic City,3 BHK,Unknown,1033.0,2.0,2.0,28.41
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Neite T,1200.0,2.0,1.0,54.0
Built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017.0,3.0,2.0,105.0
Plot  Area,Ready To Move,Rainbow Drive,3 Bedroom,Unknown,1500.0,3.0,2.0,138.0
Super built-up  Area,Ready To Move,Kamala Nagar,2 BHK,Unknown,700.0,2.0,0.0,43.0
Plot  Area,Ready To Move,Shampura,6 Bedroom,Unknown,1150.0,4.5,2.0,75.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1495.0,2.0,2.0,52.33
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1302.0,2.0,1.0,68.5
Built-up  Area,18-Mar,Whitefield,1 BHK,Prtates,905.0,1.0,1.0,52.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303.0,2.0,1.0,55.79
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Unknown,1350.0,3.0,0.0,71.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,SMshi M,1380.0,2.0,2.0,95.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Shodsir,1620.0,3.0,1.0,110.0
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,Unknown,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maager ,1000.0,2.0,1.0,38.5
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,Unknown,800.0,4.0,0.0,88.0
Super built-up  Area,18-Apr,Thanisandra,2 BHK,Unknown,1250.0,1.0,1.0,54.0
Built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,Unknown,1750.0,3.0,3.0,170.0
Super built-up  Area,Ready To Move,Anekal,3 BHK,Unknown,997.0,3.0,2.0,55.0
Super built-up  Area,15-Oct,Kothanur,3 BHK,Somumys,1760.0,3.0,2.0,111.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322.0,2.0,2.0,75.0
Plot  Area,Ready To Move,Kanaka Nagar,3 Bedroom,Unknown,1365.0,3.0,0.0,99.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1500.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Mancya ,1256.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Neestna,941.0,2.0,2.0,48.0
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soacyst,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1665.0,3.0,2.0,86.58
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,ChionCo,1414.0,2.0,2.0,84.18
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1270.0,2.0,3.0,55.25
Plot  Area,Ready To Move,Madiwala,3 Bedroom,Unknown,800.0,2.0,2.0,80.0
Plot  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,Unknown,2490.0,3.0,0.0,225.0
Built-up  Area,Ready To Move,Mathikere,6 Bedroom,Unknown,1800.0,3.0,2.0,105.0
Super built-up  Area,21-Mar,Kanakpura Road,1 BHK,GolusLi,712.0,1.0,1.0,38.44
Super built-up  Area,17-Dec,Rajaji Nagar,4 BHK,ProdsWe,1275.0,4.5,0.0,225.0
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 Bedroom,Unknown,900.0,4.0,2.0,180.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Thuse F,1200.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,Unknown,654.0,1.0,1.0,22.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,Unknown,708.0,1.0,1.0,55.0
Plot  Area,Ready To Move,Singapura Village,4 Bedroom,Unknown,600.0,4.5,3.0,75.0
Built-up  Area,Ready To Move,Wilson Garden,3 BHK,SaageWi,1680.0,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,Unknown,990.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Suitea ,1380.0,2.0,1.0,42.0
Super built-up  Area,18-May,Hebbal,2 BHK,Arcia S,1088.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Zonce E,1414.0,3.0,2.0,77.5
Built-up  Area,Ready To Move,Seshadripuram,2 BHK,Unknown,1240.0,2.0,1.0,100.0
Built-up  Area,Ready To Move,Ganesha Block,3 BHK,Unknown,1810.0,3.0,3.0,118.0
Super built-up  Area,19-Dec,4th Block Jayanagar,3 BHK,Unknown,2005.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1185.0,2.0,2.0,58.0
Plot  Area,18-Oct,Whitefield,3 Bedroom,Unknown,1200.0,3.0,2.0,57.15
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,Maenara,1265.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Unknown,1100.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Friends Colony,2 BHK,SiidsGa,1035.0,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Sonnenahalli,1 BHK,Skacak ,1275.0,1.0,0.0,30.715
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,Unknown,1000.0,2.0,1.0,97.0
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Unknown,1179.0,2.0,2.0,49.35
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650.0,3.0,1.0,84.0
Plot  Area,Ready To Move,Malur Hosur Road,6 Bedroom,Unknown,2490.0,4.0,3.0,100.0
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,8 Bedroom,Unknown,2490.0,4.5,2.0,120.0
Built-up  Area,Ready To Move,Nagaraja Garden,3 BHK,Unknown,1430.0,3.0,1.0,78.65
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Thowsil,1130.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,SuncyRe,1850.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Hennur,3 BHK,Unknown,1340.0,3.0,2.0,54.24
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,1275.0,2.0,2.0,225.0
Plot  Area,Ready To Move,Nagawara Junction,2 Bedroom,Unknown,600.0,2.0,0.0,30.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,PrdgeSo,2490.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unknown,1160.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Hegganahalli,1 Bedroom,Unknown,1200.0,2.0,1.0,45.0
Built-up  Area,18-Aug,Rajanna Layout,2 BHK,Unknown,1116.0,2.0,1.0,37.6
Plot  Area,Ready To Move,Nagarbhavi  BDA Complex,3 Bedroom,Unknown,600.0,2.0,1.0,85.0
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2490.0,4.0,1.0,225.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,1090.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSillto,1100.0,2.0,1.0,45.0
Super built-up  Area,18-Aug,Kammasandra,3 BHK,DSOakil,1365.0,2.0,1.0,34.13
Super built-up  Area,20-Feb,Vijayanagar,3 BHK,Saahaat,1484.0,3.0,2.0,79.19
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Prodsm ,1630.0,3.0,2.0,68.0
Super built-up  Area,18-May,Whitefield,3 BHK,SMuilan,1451.0,2.0,2.0,52.43
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1330.0,2.0,1.0,107.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,NRncyrk,2127.0,3.0,2.0,135.0
Plot  Area,Ready To Move,Adityanagar,5 Bedroom,Unknown,875.0,4.5,3.0,120.0
Plot  Area,Ready To Move,Hallehalli,4 Bedroom,Unknown,1260.0,4.0,2.0,65.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1173.0,2.0,2.0,45.75
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Unknown,1445.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Jayamahal Extension,4 BHK,Unknown,2250.0,4.0,1.0,225.0
Plot  Area,18-Dec,Bannerghatta Road,3 Bedroom,Putere ,1500.0,4.0,2.0,225.0
Super built-up  Area,18-Nov,Thanisandra,3 BHK,Bhe 2ko,1275.0,3.0,0.0,115.89
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,MBncyh ,1197.0,2.0,1.0,47.88
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Unknown,1200.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450.0,3.0,3.0,62.4
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1187.0,2.0,1.0,37.85
Plot  Area,Ready To Move,Wilson Garden,6 Bedroom,Unknown,2490.0,4.5,3.0,225.0
Super built-up  Area,18-Aug,Channasandra,2 BHK,Unknown,1050.0,2.0,2.0,41.0
Super built-up  Area,18-May,Panathur,3 BHK,Saite G,1370.0,2.0,2.0,54.8
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036.0,2.0,2.0,39.37
Super built-up  Area,18-Jun,JP Nagar,3 BHK,Unknown,1275.0,3.0,2.0,41.2
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brglede,2010.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1265.0,2.0,2.0,46.6
Super built-up  Area,Ready To Move,Anandapura,3 BHK,ViensRK,1576.0,3.0,2.0,58.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Unknown,1148.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1000.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Kudlu,3 BHK,MJinala,1293.0,2.0,2.0,85.0
Plot  Area,18-May,TC Palaya,3 Bedroom,Unknown,1200.0,2.0,0.0,66.0
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Keids O,1210.0,2.0,3.0,75.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1126.0,2.0,1.0,69.0
Built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Unknown,1840.0,4.0,1.0,175.0
Built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,DSestil,1440.0,2.0,0.0,70.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SamesHo,1300.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1276.0,2.0,2.0,75.0
Plot  Area,Ready To Move,Gidada Konnenahalli,6 Bedroom,Unknown,600.0,4.0,2.0,105.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,83.0
Super built-up  Area,18-Apr,Marenahalli,1 BHK,Unknown,840.0,1.0,0.0,75.0
Plot  Area,Ready To Move,Sector 1 HSR Layout,5 Bedroom,Unknown,1240.0,4.5,3.0,225.0
Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,1126.0,2.0,2.0,39.0
Plot  Area,Ready To Move,Mysore Road,1 Bedroom,Unknown,266.0,1.0,0.0,23.0
Super built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,Cee 2du,1162.0,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Nillsre,1301.0,2.0,2.0,65.0
Super built-up  Area,19-Dec,Devanahalli,1 BHK,Sabixtt,658.0,1.0,1.0,34.0
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,Unknown,1350.0,3.0,1.0,225.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,1275.0,1.0,1.0,63.0
Built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208.51,3.0,2.0,42.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133.0,2.0,2.0,38.41
Super built-up  Area,Ready To Move,Shettigere,3 BHK,LendaVi,1760.0,2.0,1.0,116.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,940.0,2.0,1.0,25.38
Super built-up  Area,Ready To Move,Badavala Nagar,2 BHK,CMDewun,1145.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275.0,2.0,0.0,67.73
Built-up  Area,Ready To Move,Rahat Bagh,4 Bedroom,Saaintv,2490.0,4.5,1.0,225.0
Super built-up  Area,Ready To Move,Omarbagh Layout,4 BHK,SNtua S,1275.0,4.5,0.0,225.0
Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Unknown,1300.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,SGncy R,2040.0,3.0,2.0,200.0
Built-up  Area,Ready To Move,Hosakerehalli,1 Bedroom,Unknown,1200.0,1.0,0.0,150.0
Plot  Area,Ready To Move,Jigani,4 Bedroom,Unknown,2420.0,4.0,1.0,190.0
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,ShdhiSa,1216.0,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soire A,1459.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Soral C,1622.0,2.0,0.0,80.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843.0,3.0,2.0,85.0
Plot  Area,Ready To Move,Chikkasandra,2 Bedroom,Unknown,600.0,1.0,1.0,52.0
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,KencyRe,1430.0,2.0,1.0,69.5
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,Unknown,1800.0,2.0,0.0,225.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565.0,2.0,2.0,57.91
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1670.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1695.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Akshayanagara West,2 BHK,ISeekon,1410.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Unknown,1060.0,2.0,3.0,42.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Unknown,1120.0,2.0,2.0,50.0
Plot  Area,Ready To Move,Hosa Road,2 Bedroom,Unknown,880.0,2.0,0.0,50.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,Unknown,1435.0,3.0,3.0,57.2
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,Unknown,1425.0,2.0,2.0,56.99
Super built-up  Area,Ready To Move,Arekere,2 BHK,Chiteny,900.0,2.0,3.0,50.0
Built-up  Area,18-Feb,Escorts Colony,5 BHK,Unknown,2400.0,4.5,2.0,93.0
Built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693.0,1.0,1.0,34.3
Plot  Area,Ready To Move,Kengeri,3 Bedroom,Unknown,600.0,3.0,1.0,90.0
Super built-up  Area,20-Dec,Electronic City,4 BHK,KonteiT,2435.0,4.0,3.0,119.0
Super built-up  Area,18-Aug,Iblur Village,3 BHK,DNionfl,1920.0,3.0,2.0,150.0
Super built-up  Area,18-Mar,Electronic City,1 BHK,Prarkun,630.0,1.0,1.0,47.0
Plot  Area,Ready To Move,Hulimavu,5 Bedroom,Unknown,1200.0,4.5,0.0,101.0
Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705.0,1.0,1.0,55.0
Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,Unknown,1200.0,2.0,2.0,75.6
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,3Codeli,1532.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,PuoodSk,1330.0,2.0,1.0,93.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,4 Bedroom,Unknown,1200.0,3.0,1.0,210.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Nauha G,1530.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Unknown,1105.0,2.0,2.0,42.0
Plot  Area,Ready To Move,1st Phase JP Nagar,2 Bedroom,Unknown,1566.0,2.0,0.0,180.0
Super built-up  Area,18-Jul,Harlur,3 BHK,Shodsir,1630.0,3.0,1.0,95.1
Built-up  Area,Ready To Move,Banashankari,6 BHK,Giaver ,1200.0,4.5,2.0,180.0
Built-up  Area,Ready To Move,Brookefield,3 BHK,Saowson,1595.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1000.0,2.0,2.0,53.0
Plot  Area,18-May,"asha township, off hennur road",5 Bedroom,Unknown,2400.0,4.5,3.0,225.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1000.0,2.0,1.0,28.88
Plot  Area,Ready To Move,1A Block Koramangala,4 Bedroom,Unknown,2360.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1737.0,2.0,3.0,95.0
Super built-up  Area,Ready To Move,Near International Airport,4 BHK,Unknown,2100.0,4.0,2.0,150.0
Built-up  Area,Ready To Move,Hosakerehalli,8 Bedroom,Unknown,2490.0,4.5,1.0,145.0
Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrawnRa,883.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,Raide P,1776.0,2.0,3.0,75.0
Super built-up  Area,19-Dec,Anjanapura,3 BHK,DSapeto,1347.0,2.0,1.0,37.72
Super built-up  Area,Ready To Move,Whitefield,3 BHK,KKdenng,1330.0,2.0,2.0,55.0
Plot  Area,Ready To Move,Sector 1 HSR Layout,2 Bedroom,Unknown,600.0,2.0,1.0,120.0
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Unknown,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1459.0,3.0,2.0,135.0
Super built-up  Area,19-Dec,Thanisandra,4 BHK,Bhe 2ko,2259.0,4.5,2.0,135.0
Built-up  Area,Ready To Move,JP Nagar,7 Bedroom,Unknown,2490.0,4.0,1.0,160.0
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,Unknown,1008.0,2.0,2.0,32.25
Super built-up  Area,Ready To Move,NTI Layout,2 BHK,Vaent V,1200.0,2.0,2.0,52.5
Super built-up  Area,18-May,Vasanth nagar,4 BHK,Dheusag,2328.0,4.0,1.0,225.0
Plot  Area,Ready To Move,BTM 1st Stage,7 Bedroom,Unknown,600.0,4.5,3.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660.0,1.0,1.0,15.5
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1800.0,2.0,2.0,225.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,2490.0,4.0,3.0,225.0
Super built-up  Area,19-Aug,Yelahanka,2 BHK,SMllay ,1275.0,2.0,0.0,50.58
Super built-up  Area,18-May,Yelahanka,1 BHK,Prensya,602.0,1.0,1.0,26.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Adaveth,1500.0,2.0,3.0,82.0
Built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1539.0,3.0,2.0,60.0
Plot  Area,Ready To Move,Fraser town,6 Bedroom,Unknown,806.0,3.0,1.0,128.0
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1100.0,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Dasappa Layout,2 BHK,Unknown,920.0,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350.0,3.0,3.0,78.3
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Shissut,1200.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Unknown,1265.0,2.0,1.0,78.0
Plot  Area,Ready To Move,Chelekare,8 Bedroom,Unknown,600.0,4.5,2.0,60.0
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1700.0,3.0,2.0,93.5
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,Unknown,1600.0,3.0,0.0,75.0
Built-up  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,Unknown,1550.0,4.0,1.0,120.0
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,SiineSu,1560.0,3.0,3.0,125.0
Plot  Area,18-Jan,Horamavu Agara,6 Bedroom,Unknown,1000.0,4.5,3.0,98.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,Unknown,1200.0,4.0,1.0,160.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1403.0,3.0,1.0,56.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1416.0,3.0,1.0,94.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1628.0,2.0,2.0,68.0
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,Unknown,1660.4,4.0,2.0,211.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,Prora F,1595.0,3.0,3.0,62.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Niacesa,1507.0,2.0,3.0,95.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1949.0,3.0,1.0,133.0
Plot  Area,Ready To Move,BTM 2nd Stage,2 Bedroom,Unknown,800.0,2.0,1.0,175.0
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Sryalan,1000.0,2.0,1.0,28.88
Super built-up  Area,20-Jun,Sonam Layout,2 BHK,Unknown,905.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,CR Layout,3 BHK,Unknown,1495.0,3.0,2.0,200.0
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,Unknown,1605.0,3.0,3.0,105.0
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,Unknown,1290.0,2.0,1.0,73.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1100.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,6 BHK,Unknown,2100.0,4.5,0.0,92.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,995.0,2.0,1.0,49.8
Plot  Area,Ready To Move,Banashankari Stage II,2 Bedroom,Unknown,500.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Apentir,1425.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,BTM 4th Stage,3 BHK,Unknown,1455.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,550.0,1.0,1.0,23.0
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,Unknown,2490.0,4.0,2.0,210.0
Super built-up  Area,Ready To Move,Srinivasa Nagar,5 BHK,Unknown,2490.0,3.0,0.0,130.0
Super built-up  Area,18-May,Gollahalli,2 BHK,Unknown,1060.0,2.0,1.0,53.0
Super built-up  Area,Ready To Move,AGS Layout,3 BHK,Unknown,1080.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1783.0,3.0,2.0,125.0
Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520.0,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SavanBr,1060.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1267.0,2.0,1.0,54.35
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1155.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,2490.0,3.0,2.0,180.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,MNikaas,1240.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Gollahalli,3 BHK,MJlese ,1570.0,3.0,2.0,78.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Unknown,1019.0,2.0,1.0,45.9
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355.0,3.0,3.0,76.0
Super built-up  Area,Ready To Move,Arekempanahalli,3 BHK,Unknown,1537.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,UKe 2nz,2490.0,4.5,3.0,225.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1550.0,3.0,3.0,52.45
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Neess P,1100.0,2.0,1.0,50.0
